,Timestamp,Consumo,Temperatura,Umidade,Radiacao
54,2018-07-25,62.18261,20.98424421440541,65.78216911764706,2333.991877256318
55,2018-07-26,62.35786,21.215835283587197,65.14781021897811,2430.248736462094
56,2018-07-27,62.39846,21.347443216603303,63.77930402930403,2481.1054347826084
57,2018-07-28,57.76448,22.06429754045244,62.00920810313075,2441.5569090909094
58,2018-07-29,52.55284,21.923644310839965,61.2211009174312,2583.0340579710146
59,2018-07-30,61.71394,21.58692478447371,61.74588665447897,2531.496195652174
60,2018-07-31,62.50198,21.21508284718196,64.4580291970803,2430.9983695652177
61,2018-08-07,51.79565,21.73112554188813,66.71743119266056,2456.322545454545
62,2018-08-08,62.6803,22.27322917378556,66.71897810218978,2326.525724637681
63,2018-08-09,54.79437,21.41601865334639,66.94332723948811,2430.3922101449275
64,2018-08-10,63.479980000000005,20.455677023630425,62.85480943738657,2713.1324863883847
65,2018-08-11,63.9038,20.88821392382134,60.5200364298725,2751.1847272727277
66,2018-08-12,57.94408,21.52443198817943,59.14377289377289,2808.037704918033
67,2018-08-13,60.67117,22.09241778575454,59.44587155963303,2760.3067395264115
68,2018-08-14,62.531940000000006,22.41183025936505,59.45680147058823,2759.9436131386865
69,2018-08-15,62.21099,21.796859756822,63.03467153284672,2513.7112932604737
70,2018-08-16,62.37339,21.60268571175705,66.12522686025409,2296.8350180505417
71,2018-08-17,62.36981,21.70740857307405,67.09510869565217,2440.14434470377
72,2018-08-18,57.47511,21.976704871665618,65.03532608695652,2630.9159784560143
73,2018-08-19,52.086,22.474441879549577,62.978142076502735,2695.369189189189
74,2018-08-20,61.20668,21.48403654376116,64.01361161524501,2584.9517055655297
75,2018-08-21,62.75082,20.655072743105357,65.05045871559633,2554.5221415607984
76,2018-08-22,62.87213,20.95885924697929,66.24728260869566,2451.735985533454
77,2018-08-23,63.36561,22.573739086838504,62.89673913043478,2841.3081227436824
78,2018-08-24,64.07448,23.72548365252871,61.77504553734062,2588.643942133816
79,2018-08-25,58.15236,21.892700402559395,62.939890710382514,2589.7679347826083
80,2018-08-26,51.70898,20.714224924808548,60.97905282331512,2762.1308664259927
