Timestamp,Consumo,Temperatura,Umidade,Radiacao,Feriado
2018-09-28,66.08883999999999,25.08254898600427,64.60109289617486,2887.2163339382937,False
2018-09-29,60.91501,25.6856375155314,63.51467889908257,2923.6443430656936,False
2018-09-30,54.85159,24.97212520349248,66.79151291512915,2636.401275045537,False
2018-10-07,52.58125,23.71313853008992,69.31318681318682,2641.220947176685,False
2018-10-08,63.479980000000005,24.719006780275045,67.91681901279708,2774.450182481752,False
2018-10-09,66.07961999999999,25.25955068717359,65.3121546961326,2982.369090909091,False
2018-10-10,66.65246,24.95429638019992,65.6460258780037,2908.905893186004,False
2018-10-11,65.74946000000001,24.68560587703446,66.18589743589743,2862.898181818182,False
2018-10-12,57.82089,25.072648881609933,65.39853747714808,2949.269945355192,True
2018-10-13,59.01472,25.61506668084243,65.44698354661791,2911.475547445256,False
2018-10-14,54.88607,25.10029007554164,67.02941176470588,2946.256909090909,False
