Timestamp,Consumo,Temperatura
2018-10-29,63.04779,23.95289911859644
2018-10-30,65.77358,24.961085695968208
2018-10-31,66.76982,25.260328925064822
2018-11-07,60.62092,24.22629983380889
2018-11-08,57.09061,23.521662247907184
2018-11-09,63.60445,23.56384495205914
2018-11-10,65.74946000000001,24.2357693722756
2018-11-11,55.84009,25.156239988418513
2018-11-12,67.91696,25.871234082001507
2018-11-13,69.75783,26.296612640963513
2018-11-14,70.14475999999999,25.867864084374993
2018-11-15,62.698809999999995,25.515608425097078
2018-11-16,65.08197,25.188590013231252
2018-11-17,60.08585,24.965856410603887
2018-11-18,55.60463,25.02132684630831
2018-11-19,63.62195,24.130311048697138
2018-11-20,62.82662,23.975578361532556
2018-11-21,64.51993,24.41216001336527
2018-11-22,66.51403,24.979971353955104
2018-11-23,67.32136,24.720751541570763
